saveBeats	includeBeats	notes
FALSE	Exclude	
FALSE	Include	
TRUE	Include	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
FALSE	Undecided	
